Scale Factor,Variant,Trial,Query,Time
1,widetable,6,Q4.1,0.00645
1,widetable,6,Q4.2,0.00784
1,widetable,6,Q4.3,0.00622
1,widetable,7,Q1.1,0.00356
1,widetable,7,Q1.2,0.003
1,widetable,7,Q1.3,0.00249
1,widetable,7,Q2.1,0.03281
1,widetable,7,Q2.2,0.00634
1,widetable,7,Q2.3,0.00409
1,widetable,7,Q3.1,0.0077
1,widetable,7,Q3.2,0.00849
1,widetable,7,Q3.3,0.00779
1,widetable,7,Q3.4,0.00385
1,widetable,7,Q4.1,0.00762
1,widetable,7,Q4.2,0.00815
1,widetable,7,Q4.3,0.00627
1,widetable,8,Q1.1,0.0041
1,widetable,8,Q1.2,0.00332
1,widetable,8,Q1.3,0.00297
1,widetable,8,Q2.1,0.02525
1,widetable,8,Q2.2,0.00647
1,widetable,8,Q2.3,0.00433
1,widetable,8,Q3.1,0.00776
1,widetable,8,Q3.2,0.00859
1,widetable,8,Q3.3,0.00823
1,widetable,8,Q3.4,0.00379
1,widetable,8,Q4.1,0.00704
1,widetable,8,Q4.2,0.0087
1,widetable,8,Q4.3,0.00669
1,widetable,9,Q1.1,0.00461
1,widetable,9,Q1.2,0.00333
1,widetable,9,Q1.3,0.00332
1,widetable,9,Q2.1,0.03022
1,widetable,9,Q2.2,0.00718
1,widetable,9,Q2.3,0.00472
1,widetable,9,Q3.1,0.00843
1,widetable,9,Q3.2,0.0091
1,widetable,9,Q3.3,0.00741
1,widetable,9,Q3.4,0.00447
1,widetable,9,Q4.1,0.00758
1,widetable,9,Q4.2,0.01046
1,widetable,9,Q4.3,0.00704
3,standard,0,Q1.1,0.02016
3,standard,0,Q1.2,0.01201
3,standard,0,Q1.3,0.01175
3,standard,0,Q2.1,0.05515
3,standard,0,Q2.2,0.01868
3,standard,0,Q2.3,0.01224
3,standard,0,Q3.1,0.05827
3,standard,0,Q3.2,0.15446
3,standard,0,Q3.3,0.01854
3,standard,0,Q3.4,0.01042
3,standard,0,Q4.1,0.03608
3,standard,0,Q4.2,0.03444
3,standard,0,Q4.3,0.01923
3,standard,1,Q1.1,0.01469
3,standard,1,Q1.2,0.01355
3,standard,1,Q1.3,0.01294
3,standard,1,Q2.1,0.07666
3,standard,1,Q2.2,0.01813
3,standard,1,Q2.3,0.01165
3,standard,1,Q3.1,0.05163
3,standard,1,Q3.2,0.17557
3,standard,1,Q3.3,0.02011
3,standard,1,Q3.4,0.01046
3,standard,1,Q4.1,0.04053
3,standard,1,Q4.2,0.03721
3,standard,1,Q4.3,0.02206
3,standard,2,Q1.1,0.01512
3,standard,2,Q1.2,0.01407
3,standard,2,Q1.3,0.01283
3,standard,2,Q2.1,0.07179
3,standard,2,Q2.2,0.01762
3,standard,2,Q2.3,0.01457
3,standard,2,Q3.1,0.0565
3,standard,2,Q3.2,0.1659
3,standard,2,Q3.3,0.02104
3,standard,2,Q3.4,0.01162
3,standard,2,Q4.1,0.03721
3,standard,2,Q4.2,0.03938
3,standard,2,Q4.3,0.02287
3,standard,3,Q1.1,0.01489
3,standard,3,Q1.2,0.01413
3,standard,3,Q1.3,0.01241
3,standard,3,Q2.1,0.07655
3,standard,3,Q2.2,0.01772
3,standard,3,Q2.3,0.01467
3,standard,3,Q3.1,0.05763
3,standard,3,Q3.2,0.1793
3,standard,3,Q3.3,0.01882
3,standard,3,Q3.4,0.01189
3,standard,3,Q4.1,0.03577
3,standard,3,Q4.2,0.03785
3,standard,3,Q4.3,0.02339
3,standard,4,Q1.1,0.0155
3,standard,4,Q1.2,0.01423
3,standard,4,Q1.3,0.01272
3,standard,4,Q2.1,0.08277
3,standard,4,Q2.2,0.01837
3,standard,4,Q2.3,0.02322
3,standard,4,Q3.1,0.07075
3,standard,4,Q3.2,0.19002
3,standard,4,Q3.3,0.0197
3,standard,4,Q3.4,0.0118
3,standard,4,Q4.1,0.03707
3,standard,4,Q4.2,0.0359
3,standard,4,Q4.3,0.02207
3,standard,5,Q1.1,0.01742
3,standard,5,Q1.2,0.01446
